Dataset,Method,Missing_Rate,Mean_LogLikelihood
2d_linear,knnxkde,0.2,1.146514219
2d_linear,knnimputer,0.2,1.153394979
2d_linear,missforest,0.2,-5.455677226
2d_linear,mice,0.2,0.753668736
2d_linear,mean,0.2,0.017312787
2d_sine,knnxkde,0.2,0.886280033
2d_sine,knnimputer,0.2,0.490528876
2d_sine,missforest,0.2,-5.005705174
2d_sine,mice,0.2,-0.620993161
2d_sine,mean,0.2,-0.094809884
2d_ring,knnxkde,0.2,0.274601614
2d_ring,knnimputer,0.2,-0.071020284
2d_ring,missforest,0.2,-6.07239765
2d_ring,mice,0.2,-0.827179504
2d_ring,mean,0.2,-0.181869177
geyser,knnxkde,0.2,0.788510207
geyser,knnimputer,0.2,0.792376106
geyser,missforest,0.2,-10.74640947
geyser,mice,0.2,0.091520906
geyser,mean,0.2,-0.1749462
penguin,knnxkde,0.2,0.711139159
penguin,knnimputer,0.2,0.638714027
penguin,missforest,0.2,-4.391439355
penguin,mice,0.2,0.035226802
penguin,mean,0.2,0.070279857
planets,knnxkde,0.2,1.36231206
planets,knnimputer,0.2,1.888878488
planets,missforest,0.2,-0.51314328
planets,mice,0.2,0.750052406
planets,mean,0.2,0.546553863
