Dataset,Method,Missing_Rate,Mean_RMSE
2d_linear,knnxkde,0.2,0.08749476482669823
2d_linear,knnimputer,0.2,0.08614526023440572
2d_linear,missforest,0.2,0.10013995262831722
2d_linear,softimpute,0.2,0.19105594723009603
2d_linear,gain,0.2,0.23509676247081934
2d_linear,mice,0.2,0.0770486398899857
2d_linear,mean,0.2,0.2379606026177276
2d_linear,median,0.2,0.2385500288271789
2d_sine,knnxkde,0.2,0.2053748310203702
2d_sine,knnimputer,0.2,0.2148778392272071
2d_sine,missforest,0.2,0.26390224696651204
2d_sine,softimpute,0.2,0.43724110203760774
2d_sine,gain,0.2,0.2756391023285362
2d_sine,mice,0.2,0.25108833195675195
2d_sine,mean,0.2,0.26374214634563287
2d_sine,median,0.2,0.26442544151001796
2d_ring,knnxkde,0.2,0.2967317093048159
2d_ring,knnimputer,0.2,0.32849527304247733
2d_ring,missforest,0.2,0.3866966914678132
2d_ring,softimpute,0.2,0.43353918894587046
2d_ring,gain,0.2,0.3151202191195384
2d_ring,mice,0.2,0.29190676519554376
2d_ring,mean,0.2,0.29187883652366364
2d_ring,median,0.2,0.2929834166794508
geyser,knnxkde,0.2,0.11737544853792231
geyser,knnimputer,0.2,0.12901374367415322
geyser,missforest,0.2,0.1319222893130098
geyser,softimpute,0.2,0.2601456220948303
geyser,gain,0.2,0.2786636114201413
geyser,mice,0.2,0.12961223639111535
geyser,mean,0.2,0.29634726160015906
geyser,median,0.2,0.3220597965077699
penguin,knnxkde,0.2,0.1424902748528359
penguin,knnimputer,0.2,0.1591471124741717
penguin,missforest,0.2,0.15550103862955456
penguin,softimpute,0.2,0.27775646103190305
penguin,gain,0.2,0.20886744552672606
penguin,mice,0.2,0.15398293559182702
penguin,mean,0.2,0.22687450266447268
penguin,median,0.2,0.23233937925525114
planets,knnxkde,0.2,0.10101311067780581
planets,knnimputer,0.2,0.12017765635566957
planets,missforest,0.2,0.09320892531365317
planets,softimpute,0.2,0.17187671391196763
planets,gain,0.2,0.15910002972015427
planets,mice,0.2,0.09838636822867468
planets,mean,0.2,0.15674926725518515
planets,median,0.2,0.16941061321399228
