Dataset,Method,Missing_Rate,Mean_LogLikelihood
2d_linear,knnxkde,0.2,1.23909990898176
2d_linear,knnimputer,0.2,1.224803314330181
2d_linear,missforest,0.2,-8.501234824006946
2d_linear,mice,0.2,0.7638407991736652
2d_linear,mean,0.2,0.11354222158421076
2d_sine,knnxkde,0.2,1.0683495129129759
2d_sine,knnimputer,0.2,1.0592954287366858
2d_sine,missforest,0.2,-8.345508624049247
2d_sine,mice,0.2,-0.6266059331279116
2d_sine,mean,0.2,-0.08446922226732105
2d_ring,knnxkde,0.2,0.3114070092391547
2d_ring,knnimputer,0.2,-0.06013387135397993
2d_ring,missforest,0.2,-8.67221881513193
2d_ring,mice,0.2,-0.7837279414212984
2d_ring,mean,0.2,-0.19002614902456888
geyser,knnxkde,0.2,0.8134089977874659
geyser,knnimputer,0.2,0.789202062401911
geyser,missforest,0.2,-11.396113711108953
geyser,mice,0.2,-0.03349104082096389
geyser,mean,0.2,-0.26625511777027916
penguin,knnxkde,0.2,0.8413392000479837
penguin,knnimputer,0.2,0.9006320034835896
penguin,missforest,0.2,-4.6623617030254
penguin,mice,0.2,0.2633463471837977
penguin,mean,0.2,-0.04688553749434266
planets,knnxkde,0.2,1.1385180147868623
planets,knnimputer,0.2,1.1984450156976323
planets,missforest,0.2,-3.5140152120038217
planets,mice,0.2,0.6124031246070747
planets,mean,0.2,0.3940619400471389
