Dataset,Method,Missing_Rate,Mean_RMSE
2d_linear,knnxkde,0.2,0.06896653072855131
2d_linear,knnimputer,0.2,0.07409931858043535
2d_linear,missforest,0.2,0.08786364951609266
2d_linear,softimpute,0.2,0.2029869147365949
2d_linear,gain,0.2,0.19358487634505567
2d_linear,mice,0.2,0.06507569899251522
2d_linear,mean,0.2,0.2164404718045269
2d_linear,median,0.2,0.21818173297917176
2d_sine,knnxkde,0.2,0.12055713578412752
2d_sine,knnimputer,0.2,0.09095087327802052
2d_sine,missforest,0.2,0.0903682878042243
2d_sine,softimpute,0.2,0.3939174669568664
2d_sine,gain,0.2,0.27613028708046045
2d_sine,mice,0.2,0.24699403018114285
2d_sine,mean,0.2,0.2628816801841681
2d_sine,median,0.2,0.26379610667836667
2d_ring,knnxkde,0.2,0.29248771017542924
2d_ring,knnimputer,0.2,0.32665554783531553
2d_ring,missforest,0.2,0.3990327024110126
2d_ring,softimpute,0.2,0.4195532661079553
2d_ring,gain,0.2,0.3066074030379098
2d_ring,mice,0.2,0.2884357657432117
2d_ring,mean,0.2,0.28842130903839724
2d_ring,median,0.2,0.28863587610310365
geyser,knnxkde,0.2,0.11572237473361728
geyser,knnimputer,0.2,0.126036796501915
geyser,missforest,0.2,0.12695731305469743
geyser,softimpute,0.2,0.29616383158425813
geyser,gain,0.2,0.2890657188467147
geyser,mice,0.2,0.14477208985022733
geyser,mean,0.2,0.312277322493295
geyser,median,0.2,0.30710787762452213
penguin,knnxkde,0.2,0.10517209861358631
penguin,knnimputer,0.2,0.10727223744120722
penguin,missforest,0.2,0.11252446569484531
penguin,softimpute,0.2,0.19967043575497356
penguin,gain,0.2,0.2028557250916954
penguin,mice,0.2,0.110607837767366
penguin,mean,0.2,0.23625011485483247
penguin,median,0.2,0.25616014645658314
planets,knnxkde,0.2,0.0773190918051987
planets,knnimputer,0.2,0.07850572834310733
planets,missforest,0.2,0.07604693239463321
planets,softimpute,0.2,0.15290286631282426
planets,gain,0.2,0.1539436068651845
planets,mice,0.2,0.0803964663768984
planets,mean,0.2,0.1594810055373293
planets,median,0.2,0.15084112867117389
