Dataset,Method,Missing_Rate,Mean_LogLikelihood
2d_linear,knnxkde,0.2,1.2377019004036354
2d_linear,knnimputer,0.2,1.2136375880384147
2d_linear,missforest,0.2,-8.567807826396944
2d_linear,mice,0.2,0.7839986166378116
2d_linear,mean,0.2,0.14147049395759165
2d_sine,knnxkde,0.2,1.128173915774642
2d_sine,knnimputer,0.2,1.1355568685415727
2d_sine,missforest,0.2,-8.426368249711079
2d_sine,mice,0.2,-0.5572098834144343
2d_sine,mean,0.2,-0.06017194076112303
2d_ring,knnxkde,0.2,0.3306646955097122
2d_ring,knnimputer,0.2,-0.025644246192201715
2d_ring,missforest,0.2,-8.855454893664362
2d_ring,mice,0.2,-0.7771584314148453
2d_ring,mean,0.2,-0.16937846905084672
geyser,knnxkde,0.2,0.8736973408625601
geyser,knnimputer,0.2,0.8321698034922747
geyser,missforest,0.2,-11.23527129137626
geyser,mice,0.2,-0.006249672632154174
geyser,mean,0.2,-0.3095594190039798
penguin,knnxkde,0.2,0.8476065906700191
penguin,knnimputer,0.2,0.9062842147794561
penguin,missforest,0.2,-4.938395705953326
penguin,mice,0.2,0.2689387832531927
penguin,mean,0.2,0.06780923906161182
planets,knnxkde,0.2,0.9928042155336463
planets,knnimputer,0.2,1.0965258517144942
planets,missforest,0.2,-3.757370930461602
planets,mice,0.2,0.6493127323885639
planets,mean,0.2,0.326307182440483
