Dataset,Method,Missing_Rate,Mean_RMSE
2d_linear,knnxkde,0.2,0.07116785937130428
2d_linear,knnimputer,0.2,0.0754178671214128
2d_linear,missforest,0.2,0.08848289880136649
2d_linear,softimpute,0.2,0.1973006488840946
2d_linear,gain,0.2,0.1983270027734766
2d_linear,mice,0.2,0.06675700338025031
2d_linear,mean,0.2,0.21654642594142773
2d_linear,median,0.2,0.21672569023994606
2d_sine,knnxkde,0.2,0.12051509109983703
2d_sine,knnimputer,0.2,0.09094305109909841
2d_sine,missforest,0.2,0.09069887655809811
2d_sine,softimpute,0.2,0.42440513459752943
2d_sine,gain,0.2,0.2756715432059343
2d_sine,mice,0.2,0.24708788050293334
2d_sine,mean,0.2,0.25854098889733185
2d_sine,median,0.2,0.25857246896216396
2d_ring,knnxkde,0.2,0.2897121015471419
2d_ring,knnimputer,0.2,0.3260058517546767
2d_ring,missforest,0.2,0.3987371621782985
2d_ring,softimpute,0.2,0.4387665727843682
2d_ring,gain,0.2,0.2993008963064422
2d_ring,mice,0.2,0.2845093690616757
2d_ring,mean,0.2,0.2844949706622891
2d_ring,median,0.2,0.2853011217955444
geyser,knnxkde,0.2,0.11474656691409142
geyser,knnimputer,0.2,0.12522881651938667
geyser,missforest,0.2,0.12175501613085785
geyser,softimpute,0.2,0.2734114032912355
geyser,gain,0.2,0.3096715861761857
geyser,mice,0.2,0.14630582347742666
geyser,mean,0.2,0.3299660836190081
geyser,median,0.2,0.3669814142746738
penguin,knnxkde,0.2,0.10744560157436811
penguin,knnimputer,0.2,0.10817637699499592
penguin,missforest,0.2,0.11417761736052355
penguin,softimpute,0.2,0.1871433482841774
penguin,gain,0.2,0.19977790566485584
penguin,mice,0.2,0.11707574035966992
penguin,mean,0.2,0.23357562945571084
penguin,median,0.2,0.2389585251104313
planets,knnxkde,0.2,0.08246630291810583
planets,knnimputer,0.2,0.08620469609358532
planets,missforest,0.2,0.08039899783714308
planets,softimpute,0.2,0.1438831432269205
planets,gain,0.2,0.16039599460070916
planets,mice,0.2,0.08210140105244668
planets,mean,0.2,0.1750098093741328
planets,median,0.2,0.1835161897533944
