Dataset,Method,Missing_Rate,Mean_LogLikelihood
2d_linear,knnxkde,0.2,1.2466597780143538
2d_linear,knnimputer,0.2,1.2541201388259675
2d_linear,missforest,0.2,-8.212115085548355
2d_linear,mice,0.2,0.8176943376494886
2d_linear,mean,0.2,0.09987308156713384
2d_sine,knnxkde,0.2,1.0723198488394434
2d_sine,knnimputer,0.2,1.0791321811288708
2d_sine,missforest,0.2,-8.579059245981025
2d_sine,mice,0.2,-0.5907226434789845
2d_sine,mean,0.2,-0.08898933562554179
2d_ring,knnxkde,0.2,0.310534097070318
2d_ring,knnimputer,0.2,-0.03118948896865422
2d_ring,missforest,0.2,-8.702432875607435
2d_ring,mice,0.2,-0.747341674345823
2d_ring,mean,0.2,-0.17601230708639168
geyser,knnxkde,0.2,0.8389429776351054
geyser,knnimputer,0.2,0.799226872171399
geyser,missforest,0.2,-11.366195018570451
geyser,mice,0.2,-0.07043822705524069
geyser,mean,0.2,-0.2781133766622718
penguin,knnxkde,0.2,0.8044243501284626
penguin,knnimputer,0.2,0.9170705912885182
penguin,missforest,0.2,-4.260526089750817
penguin,mice,0.2,0.26649407022206023
penguin,mean,0.2,-0.02161449349271666
planets,knnxkde,0.2,1.038023166287935
planets,knnimputer,0.2,1.0068376451109304
planets,missforest,0.2,-4.026821565774723
planets,mice,0.2,0.6490690870453886
planets,mean,0.2,0.36799825873575737
