Dataset,Method,Missing_Rate,Mean_RMSE
2d_linear,knnxkde,0.2,0.07109617815893282
2d_linear,knnimputer,0.2,0.07612292872908073
2d_linear,missforest,0.2,0.0903681346617686
2d_linear,softimpute,0.2,0.20808405897894314
2d_linear,gain,0.2,0.21085170057757174
2d_linear,mice,0.2,0.06759661443971807
2d_linear,mean,0.2,0.2175810836910054
2d_linear,median,0.2,0.21999073047858309
2d_sine,knnxkde,0.2,0.12431937896981271
2d_sine,knnimputer,0.2,0.09417225114731162
2d_sine,missforest,0.2,0.09218632886622388
2d_sine,softimpute,0.2,0.49480455171571897
2d_sine,gain,0.2,0.2864722910637122
2d_sine,mice,0.2,0.2526226806954082
2d_sine,mean,0.2,0.26671601658293365
2d_sine,median,0.2,0.2721328679168241
2d_ring,knnxkde,0.2,0.30097103728727914
2d_ring,knnimputer,0.2,0.3341010810195352
2d_ring,missforest,0.2,0.40781890207531757
2d_ring,softimpute,0.2,0.5085514441139594
2d_ring,gain,0.2,0.30984490237033163
2d_ring,mice,0.2,0.29340963802259296
2d_ring,mean,0.2,0.2934035885518294
2d_ring,median,0.2,0.29581670177948616
geyser,knnxkde,0.2,0.11713390940630265
geyser,knnimputer,0.2,0.12593531834187147
geyser,missforest,0.2,0.12841284480525153
geyser,softimpute,0.2,0.3152391523569716
geyser,gain,0.2,0.2953760127536666
geyser,mice,0.2,0.14460084421322186
geyser,mean,0.2,0.32022322189262353
geyser,median,0.2,0.30523263723961513
penguin,knnxkde,0.2,0.10911027777899154
penguin,knnimputer,0.2,0.11235515542989376
penguin,missforest,0.2,0.11384879586403335
penguin,softimpute,0.2,0.2209402002204515
penguin,gain,0.2,0.2002307034791526
penguin,mice,0.2,0.11544328041240237
penguin,mean,0.2,0.2531309335991933
penguin,median,0.2,0.27909604929096327
planets,knnxkde,0.2,0.08354500775174592
planets,knnimputer,0.2,0.08651465163757757
planets,missforest,0.2,0.08219862470471474
planets,softimpute,0.2,0.1664109972648223
planets,gain,0.2,0.17946399054499848
planets,mice,0.2,0.08638923993088869
planets,mean,0.2,0.16838252737945109
planets,median,0.2,0.15682281038277826
